-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  39.905   Longitude 116.3914 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 221.57 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
2018,1,1,1.16,46.69,0.0,100.0,2.8,4.16,1.14,3.01,4.33,8.05,1.62,6.42
2018,1,2,1.16,48.25,0.0,100.63,3.13,4.26,1.69,2.57,5.12,7.9,2.39,5.5
2018,1,3,0.92,45.5,0.0,101.08,3.45,5.88,0.5,5.38,5.53,8.01,0.64,7.37
2018,1,4,1.04,48.12,0.0,100.63,2.88,4.66,0.86,3.8,4.29,7.58,1.31,6.27
2018,1,5,1.16,47.62,0.0,99.91,3.09,4.78,1.68,3.1,4.85,8.84,2.41,6.43
2018,1,6,1.22,47.5,0.0,99.99,3.26,6.04,0.68,5.36,4.66,8.97,0.58,8.4
2018,1,7,1.65,49.5,0.24,99.42,3.09,6.7,0.34,6.36,4.33,9.34,0.45,8.88
2018,1,8,0.85,41.94,0.0,99.03,6.93,11.11,3.17,7.94,10.29,14.18,6.44,7.74
2018,1,9,0.85,41.25,0.0,99.21,6.85,11.23,3.11,8.11,10.15,13.67,5.64,8.03
2018,1,10,0.55,33.25,0.0,100.07,6.7,8.36,4.1,4.26,9.73,11.18,7.63,3.55
2018,1,11,0.55,36.62,0.0,100.74,4.33,6.73,2.19,4.54,6.32,10.2,3.55,6.66
2018,1,12,1.16,50.69,0.0,100.16,3.79,5.55,2.69,2.86,5.84,6.84,4.35,2.49
2018,1,13,1.53,59.31,0.0,99.76,2.96,4.55,0.45,4.11,4.55,7.59,0.47,7.12
2018,1,14,1.71,61.44,0.0,99.33,4.08,8.13,0.45,7.68,6.41,10.05,0.73,9.33
2018,1,15,1.71,67.06,0.0,99.63,2.56,3.66,0.88,2.79,4.12,7.23,1.24,6.0
2018,1,16,1.34,50.38,0.0,99.12,3.29,4.72,1.26,3.46,5.37,8.59,0.97,7.62
2018,1,17,1.46,52.38,0.0,99.12,3.43,7.02,0.62,6.41,5.2,8.74,0.89,7.86
2018,1,18,1.4,47.81,0.0,99.64,2.35,3.44,1.39,2.05,3.58,6.23,1.95,4.27
2018,1,19,1.4,46.44,0.0,99.45,4.15,6.33,1.83,4.5,6.34,8.45,2.61,5.84
2018,1,20,1.4,54.38,0.0,99.68,3.12,4.7,2.05,2.66,4.66,6.11,2.93,3.18
2018,1,21,1.4,63.69,0.54,99.69,2.88,4.68,1.54,3.15,3.74,5.14,2.47,2.68
2018,1,22,1.04,49.31,0.56,99.67,3.88,8.02,0.33,7.69,5.22,10.81,0.67,10.14
2018,1,23,0.43,33.5,0.0,100.15,4.93,7.77,2.89,4.87,7.16,10.54,5.3,5.24
2018,1,24,0.55,39.88,0.0,100.34,3.79,6.07,2.4,3.67,5.84,7.3,4.02,3.28
2018,1,25,0.55,41.06,0.0,100.91,3.06,5.86,0.73,5.13,4.58,7.43,0.97,6.46
2018,1,26,0.67,47.12,0.0,100.85,2.65,3.73,1.91,1.82,3.64,4.84,2.23,2.61
2018,1,27,1.04,60.0,0.0,100.31,1.8,5.28,0.25,5.03,2.55,8.55,0.3,8.24
