-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  39.905   Longitude 116.3914 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 221.57 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,-4.59,-14.33,-9.45,-5.7,11.71,1.89,-9.82
2018,1,2,-4.82,-14.12,-9.47,-5.51,12.15,1.94,-10.2
2018,1,3,-6.6,-16.29,-11.44,-7.13,11.59,-0.35,-11.93
2018,1,4,-6.56,-15.34,-10.95,-6.98,6.45,-3.13,-9.59
2018,1,5,-4.67,-14.2,-9.43,-5.83,13.24,2.98,-10.27
2018,1,6,-4.76,-14.0,-9.38,-4.98,11.59,0.98,-10.61
2018,1,7,-1.81,-10.68,-6.24,-2.63,7.22,2.37,-4.85
2018,1,8,-6.75,-17.14,-11.95,-7.04,8.78,-2.24,-11.02
2018,1,9,-6.73,-17.58,-12.16,-7.24,8.88,-1.6,-10.48
2018,1,10,-9.0,-21.42,-15.2,-9.13,9.28,-3.77,-13.06
2018,1,11,-9.77,-21.29,-15.53,-10.44,11.91,-2.92,-14.82
2018,1,12,-6.11,-14.75,-10.43,-7.07,18.03,4.68,-13.35
2018,1,13,-4.27,-11.46,-7.87,-4.8,13.89,3.81,-10.08
2018,1,14,-2.53,-9.95,-6.24,-3.71,14.07,6.19,-7.88
2018,1,15,-5.02,-10.49,-7.76,-5.89,7.8,-0.8,-8.6
2018,1,16,-3.57,-12.67,-8.12,-3.82,11.43,2.74,-8.69
2018,1,17,-2.79,-12.18,-7.49,-4.05,11.85,4.69,-7.16
2018,1,18,-2.99,-12.76,-7.88,-4.61,14.23,5.31,-8.92
2018,1,19,-1.88,-12.32,-7.1,-3.2,14.81,6.37,-8.44
2018,1,20,-4.24,-12.36,-8.3,-4.48,9.44,1.15,-8.29
2018,1,21,-6.08,-12.1,-9.1,-5.57,6.7,-2.17,-8.87
2018,1,22,-7.24,-16.96,-12.1,-6.56,11.19,-2.37,-13.56
2018,1,23,-12.51,-24.73,-18.62,-12.42,11.3,-5.92,-17.2
2018,1,24,-10.85,-21.5,-16.17,-11.38,13.04,-3.54,-16.57
2018,1,25,-11.18,-21.46,-16.32,-11.58,10.41,-5.49,-15.91
2018,1,26,-11.64,-20.35,-15.99,-11.76,10.3,-6.48,-16.78
2018,1,27,-8.92,-15.17,-12.04,-9.95,8.43,-5.24,-13.67
2018,1,28,-10.04,-22.85,-16.45,-10.04,11.64,-4.22,-15.86
2018,1,29,-7.86,-18.1,-12.98,-8.26,13.37,-0.42,-13.79
2018,1,30,-5.81,-16.93,-11.38,-6.35,14.16,2.49,-11.67
2018,1,31,-5.56,-15.98,-10.77,-6.16,14.36,2.72,-11.64
2018,2,1,-4.61,-15.85,-10.23,-5.07,13.83,3.16,-10.67
2018,2,2,-8.29,-19.67,-13.99,-8.31,10.13,-2.35,-12.49
2018,2,3,-9.02,-19.31,-14.17,-9.1,13.42,-1.36,-14.78
2018,2,4,-7.57,-17.03,-12.31,-7.7,16.68,1.74,-14.93
2018,2,5,-8.68,-19.18,-13.93,-8.9,12.66,-1.49,-14.14
2018,2,6,-6.99,-16.43,-11.7,-7.74,16.71,2.15,-14.56
2018,2,7,-6.85,-17.35,-12.1,-7.32,9.67,-0.79,-10.46
2018,2,8,-6.31,-16.35,-11.32,-8.2,11.19,-0.03,-11.22
2018,2,9,-5.52,-17.43,-11.48,-6.63,13.2,1.8,-11.4
2018,2,10,-9.23,-21.31,-15.27,-9.77,11.73,-2.92,-14.66
2018,2,11,-9.49,-21.3,-15.39,-9.83,11.23,-4.03,-15.26
2018,2,12,-4.4,-16.83,-10.62,-5.98,16.59,4.36,-12.23
2018,2,13,-1.65,-12.38,-7.01,-2.51,17.78,7.53,-10.26
2018,2,14,-2.2,-13.9,-8.05,-3.15,10.79,4.39,-6.41
2018,2,15,-3.94,-15.0,-9.47,-3.92,14.79,3.56,-11.24
2018,2,16,-0.92,-14.67,-7.79,-2.39,13.8,6.06,-7.74
2018,2,17,-3.45,-11.27,-7.36,-3.86,9.65,0.9,-8.74
2018,2,18,-0.56,-8.87,-4.71,-1.21,16.13,9.02,-7.11
2018,2,19,0.5,-6.99,-3.25,0.65,10.2,7.08,-3.11
2018,2,20,0.22,-13.3,-6.54,0.28,9.05,5.9,-3.14
2018,2,21,-0.04,-13.68,-6.86,-0.02,13.1,8.07,-5.04
2018,2,22,0.64,-13.66,-6.51,-0.43,11.55,7.53,-4.02
2018,2,23,1.24,-11.52,-5.13,0.9,13.34,9.12,-4.22
2018,2,24,-2.36,-13.24,-7.8,-1.22,6.74,2.01,-4.74
2018,2,25,-0.92,-8.18,-4.55,0.12,14.77,7.71,-7.06
2018,2,26,2.78,-5.52,-1.38,1.93,17.98,14.22,-3.77
2018,2,27,-0.27,-7.77,-4.02,-0.23,6.64,3.47,-3.17
2018,2,28,1.51,-7.92,-3.21,1.94,14.08,10.39,-3.7
2018,3,1,-0.21,-15.63,-7.92,0.37,13.45,7.87,-5.58
2018,3,2,1.34,-8.43,-3.55,1.86,15.88,11.54,-4.34
2018,3,3,3.26,-2.07,0.59,2.68,11.73,9.49,-2.24
