-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 01/31/2021 
Location: Latitude  39.905   Longitude 116.3914 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 221.57 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,PS,WS10M,WS50M,QV2M,RH2M,PRECTOTCORR
2000,1,1,-4.38,-7.74,-6.06,-4.71,99.38,1.98,3.09,2.08,79.12,0.21
2000,1,2,-3.71,-17.31,-10.51,-4.84,99.42,4.89,7.24,0.85,32.69,0.0
2000,1,3,-6.35,-12.46,-9.41,-6.27,99.56,2.6,3.33,1.46,62.62,0.16
2000,1,4,-5.61,-7.86,-6.74,-5.31,99.59,1.95,2.44,2.08,86.69,0.04
2000,1,5,-5.66,-7.89,-6.77,-6.07,99.52,1.23,1.8,2.08,86.75,3.16
2000,1,6,-11.85,-25.06,-18.45,-12.05,99.9,8.15,11.45,0.43,30.31,0.0
2000,1,7,-12.79,-25.44,-19.11,-13.59,99.8,4.29,6.23,0.37,31.12,0.0
2000,1,8,-10.08,-19.85,-14.96,-10.81,99.48,2.71,4.07,0.67,43.31,0.0
2000,1,9,-6.2,-14.47,-10.34,-7.12,99.45,2.55,3.55,1.16,51.88,0.0
2000,1,10,-6.99,-14.99,-10.99,-7.92,100.24,2.52,3.64,1.1,52.31,0.0
2000,1,11,-7.77,-11.45,-9.6,-7.41,100.34,1.84,2.16,1.46,75.88,1.91
2000,1,12,-5.72,-12.31,-9.02,-5.56,99.75,2.47,3.7,1.4,61.62,0.12
2000,1,13,-7.95,-17.1,-12.52,-7.55,99.87,3.62,4.93,0.85,46.25,0.17
2000,1,14,-6.85,-13.68,-10.27,-8.0,99.8,2.04,2.91,1.22,59.44,0.0
2000,1,15,-6.74,-12.27,-9.5,-7.35,100.09,1.5,2.16,1.4,65.25,0.0
2000,1,16,-7.42,-14.36,-10.88,-7.52,100.42,2.61,4.24,1.16,58.06,0.0
2000,1,17,-6.54,-13.72,-10.13,-7.19,99.92,3.16,5.05,1.22,58.81,0.0
2000,1,18,-7.45,-16.95,-12.2,-7.85,99.95,6.73,9.6,0.92,46.44,0.0
