-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  60.1756   Longitude 24.9342 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 9.17 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,QV2M,RH2M,PRECTOTCORR
2018,1,1,99.33,5.63,8.01,4.6,3.4,6.68,10.12,5.37,4.75,3.91,93.12,3.56
2018,1,2,99.48,7.89,8.61,6.56,2.05,9.91,10.76,8.41,2.34,4.88,95.81,1.81
2018,1,3,99.98,5.93,8.28,4.15,4.13,7.12,10.15,4.95,5.2,4.27,94.06,1.14
2018,1,4,99.61,6.04,7.45,4.57,2.88,7.22,8.85,5.66,3.19,4.03,93.12,1.34
2018,1,5,99.17,6.91,7.59,5.44,2.16,8.36,9.2,6.55,2.65,4.39,94.38,7.36
2018,1,6,99.39,5.97,8.05,3.1,4.95,7.22,9.66,3.81,5.84,4.03,91.81,2.01
2018,1,7,100.99,9.45,12.35,7.48,4.88,11.42,15.22,8.93,6.29,2.93,80.75,0.36
2018,1,8,101.94,8.22,11.97,4.39,7.57,10.08,14.91,5.3,9.6,2.93,79.88,0.07
2018,1,9,102.48,5.25,6.2,3.71,2.49,6.23,7.23,4.51,2.72,3.72,93.25,0.06
2018,1,10,102.43,2.7,3.73,2.02,1.71,3.2,4.62,2.27,2.36,3.17,97.06,0.31
2018,1,11,102.8,3.8,4.63,2.53,2.09,4.47,5.62,2.93,2.7,2.93,92.0,0.36
2018,1,12,103.93,4.09,4.5,3.38,1.13,5.02,5.58,4.15,1.43,2.56,82.56,0.0
2018,1,13,104.18,3.25,4.55,2.39,2.16,3.91,5.63,2.67,2.97,2.56,82.0,0.25
2018,1,14,103.83,4.14,5.28,3.27,2.01,4.83,5.97,3.88,2.09,2.44,85.31,0.22
2018,1,15,102.77,6.22,7.95,4.98,2.97,7.09,9.24,5.66,3.59,2.2,95.5,0.71
2018,1,16,100.95,10.33,11.11,8.34,2.77,12.07,13.14,9.73,3.41,2.08,94.62,0.26
2018,1,17,99.81,8.61,10.87,5.27,5.6,10.2,12.9,6.35,6.54,2.26,91.69,1.68
2018,1,18,99.58,3.88,5.08,2.1,2.98,4.67,6.27,2.38,3.9,2.69,90.69,2.96
2018,1,19,100.2,2.1,3.16,1.53,1.63,2.44,3.95,1.74,2.2,2.81,87.12,0.44
2018,1,20,100.73,3.41,3.7,2.85,0.84,4.16,4.45,3.42,1.04,2.69,94.06,0.2
2018,1,21,101.11,3.97,4.52,2.62,1.9,4.73,5.45,3.09,2.35,2.2,92.5,0.08
2018,1,22,101.04,3.23,4.77,1.69,3.08,3.73,5.57,1.93,3.64,2.56,96.06,4.04
2018,1,23,101.82,4.02,8.75,0.91,7.84,4.96,10.62,1.14,9.48,2.26,91.31,0.86
2018,1,24,100.69,10.41,12.82,7.91,4.91,12.62,15.46,10.41,5.06,3.3,94.81,8.89
2018,1,25,99.72,11.22,12.8,8.51,4.29,14.41,16.12,11.11,5.02,4.52,94.12,8.88
2018,1,26,101.12,6.29,8.9,4.68,4.23,8.59,11.89,6.89,5.0,4.39,96.44,0.47
2018,1,27,101.62,4.93,5.93,3.91,2.02,6.55,7.3,5.9,1.4,4.15,96.06,1.7
2018,1,28,100.88,5.35,6.95,4.11,2.84,6.31,8.08,4.98,3.09,3.66,93.88,4.35
2018,1,29,100.11,4.28,4.95,3.76,1.19,5.14,5.84,4.48,1.37,3.54,92.5,0.67
2018,1,30,100.06,4.64,5.87,3.24,2.63,5.46,6.95,3.7,3.24,2.93,89.69,2.19
2018,1,31,100.81,3.51,8.1,0.82,7.28,4.09,9.32,0.95,8.37,2.5,84.69,0.27
2018,2,1,99.76,8.02,11.77,4.07,7.7,9.44,13.92,5.17,8.76,3.42,93.94,11.6
2018,2,2,100.15,3.7,5.86,0.62,5.24,4.5,7.11,0.63,6.48,3.85,96.94,3.05
