-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  60.1756   Longitude 24.9342 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 9.17 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,1.12,0.13,0.62,2.94,4.16,3.88,-0.28
2018,1,2,3.99,3.4,3.69,3.85,0.45,4.17,3.73
2018,1,3,2.35,1.51,1.93,3.21,2.14,3.63,1.48
2018,1,4,1.8,0.83,1.31,2.8,1.4,2.44,1.04
2018,1,5,2.68,1.89,2.28,3.12,1.09,3.1,2.01
2018,1,6,1.7,0.52,1.11,2.73,3.66,2.93,-0.74
2018,1,7,-0.33,-3.25,-1.79,2.06,3.09,1.22,-1.88
2018,1,8,-0.27,-3.3,-1.78,2.05,1.94,0.96,-0.98
2018,1,9,0.93,-0.05,0.44,2.23,2.34,1.75,-0.6
2018,1,10,-1.53,-2.11,-1.82,1.54,2.07,-0.65,-2.72
2018,1,11,-1.69,-3.02,-2.35,1.37,2.58,-0.58,-3.16
2018,1,12,-2.1,-4.78,-3.44,0.54,2.48,-0.74,-3.22
2018,1,13,-1.88,-4.66,-3.27,0.88,2.23,-0.94,-3.17
2018,1,14,-3.07,-5.4,-4.24,0.79,3.51,-1.73,-5.24
2018,1,15,-5.77,-6.85,-6.31,-0.06,1.4,-5.13,-6.53
2018,1,16,-6.38,-7.59,-6.99,-0.19,1.66,-5.45,-7.11
2018,1,17,-5.2,-6.71,-5.95,0.06,4.02,-2.94,-6.95
2018,1,18,-3.05,-4.6,-3.82,0.5,1.21,-2.51,-3.72
2018,1,19,-1.95,-3.95,-2.95,-0.46,2.75,-0.89,-3.64
2018,1,20,-3.27,-4.45,-3.86,-1.49,4.19,-1.31,-5.5
2018,1,21,-5.38,-6.91,-6.14,-1.99,1.52,-4.48,-6.0
2018,1,22,-4.17,-5.18,-4.67,-1.23,4.55,-2.03,-6.57
2018,1,23,-5.24,-6.87,-6.06,-2.45,7.16,-0.74,-7.89
2018,1,24,-1.18,-2.06,-1.63,0.38,5.72,2.08,-3.64
2018,1,25,3.19,2.34,2.76,2.23,2.23,3.86,1.62
2018,1,26,2.72,2.23,2.48,2.14,1.07,3.39,2.32
2018,1,27,1.94,1.4,1.67,1.85,2.13,2.47,0.33
2018,1,28,0.53,-0.32,0.11,1.23,0.79,0.83,0.05
2018,1,29,0.05,-1.02,-0.49,0.99,1.31,0.56,-0.75
2018,1,30,-1.97,-3.6,-2.78,0.43,2.66,-0.7,-3.36
2018,1,31,-2.94,-5.37,-4.16,-0.38,2.11,-1.72,-3.83
2018,2,1,-0.55,-1.47,-1.01,0.69,2.23,0.5,-1.73
2018,2,2,0.65,0.23,0.44,1.08,0.52,0.9,0.38
2018,2,3,-3.01,-3.95,-3.48,-0.6,6.26,0.26,-5.99
2018,2,4,-6.52,-7.31,-6.92,-1.57,1.5,-5.93,-7.44
2018,2,5,-6.8,-7.53,-7.17,-1.74,2.64,-5.35,-7.99
2018,2,6,-6.66,-7.7,-7.17,-1.57,2.83,-5.33,-8.16
2018,2,7,-3.77,-5.54,-4.66,-0.91,2.8,-2.28,-5.08
2018,2,8,-2.67,-4.2,-3.44,-0.66,5.8,-0.57,-6.38
2018,2,9,-6.17,-7.5,-6.84,-2.88,2.07,-5.25,-7.32
2018,2,10,-5.51,-7.1,-6.31,-4.09,2.79,-4.24,-7.02
2018,2,11,-3.99,-5.68,-4.84,-2.57,1.52,-3.49,-5.01
2018,2,12,-2.88,-4.3,-3.6,-1.49,2.45,-1.7,-4.16
2018,2,13,-0.82,-1.69,-1.26,-0.42,1.77,0.13,-1.63
2018,2,14,-1.18,-2.14,-1.66,-0.85,2.5,-0.22,-2.73
2018,2,15,-3.9,-5.77,-4.84,-1.88,2.73,-2.71,-5.45
2018,2,16,-4.1,-5.69,-4.89,-1.95,1.93,-3.1,-5.03
2018,2,17,-4.15,-5.24,-4.7,-1.92,2.15,-3.45,-5.6
2018,2,18,-6.76,-7.86,-7.31,-3.01,2.0,-5.74,-7.74
2018,2,19,-7.75,-8.61,-8.18,-3.34,2.86,-5.99,-8.85
2018,2,20,-8.56,-9.7,-9.13,-4.13,2.59,-7.02,-9.6
2018,2,21,-9.2,-10.37,-9.78,-4.76,3.22,-7.38,-10.6
2018,2,22,-8.84,-13.18,-11.01,-5.99,3.45,-7.15,-10.6
2018,2,23,-7.95,-10.73,-9.34,-4.42,1.55,-7.48,-9.02
2018,2,24,-10.37,-11.1,-10.74,-4.67,2.03,-9.21,-11.24
2018,2,25,-8.49,-9.45,-8.97,-3.92,5.05,-6.01,-11.06
2018,2,26,-8.03,-9.35,-8.69,-3.75,4.59,-6.31,-10.9
2018,2,27,-12.8,-12.98,-12.88,-5.6,2.22,-11.48,-13.7
