-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  40.6943   Longitude -73.9249 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.17 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
2018,1,1,1.71,91.69,0.04,102.77,7.39,8.55,6.75,1.8,8.95,10.75,8.38,2.38
2018,1,2,1.95,87.19,0.03,102.8,7.68,9.62,6.13,3.49,9.4,11.8,6.84,4.96
2018,1,3,1.77,67.81,0.28,102.31,3.69,7.55,0.73,6.81,4.4,9.33,1.02,8.3
2018,1,4,2.75,90.69,58.13,99.74,14.2,18.23,6.81,11.41,16.78,21.49,8.23,13.27
2018,1,5,1.65,91.88,0.1,101.03,12.61,13.35,11.62,1.73,15.2,16.16,14.35,1.81
2018,1,6,1.53,95.62,0.17,102.4,10.37,11.34,8.69,2.66,12.66,14.02,11.21,2.81
2018,1,7,1.53,91.19,0.01,103.24,6.01,8.85,2.27,6.58,7.46,11.2,2.39,8.8
2018,1,8,2.62,82.56,14.19,102.14,7.98,9.05,6.44,2.61,9.78,11.26,8.05,3.2
2018,1,9,3.36,84.88,0.03,102.15,6.2,6.73,5.02,1.71,7.93,8.71,6.06,2.65
2018,1,10,3.11,77.94,0.02,103.01,3.41,4.98,1.56,3.42,4.39,7.87,1.94,5.92
2018,1,11,5.19,98.62,0.28,102.61,4.95,6.08,3.9,2.18,8.04,10.41,6.43,3.98
2018,1,12,6.71,100.0,36.76,101.17,8.09,10.88,6.21,4.67,13.08,16.1,10.59,5.52
2018,1,13,4.03,83.31,13.48,101.09,9.8,11.79,7.34,4.45,12.38,16.16,10.55,5.61
2018,1,14,1.83,75.88,0.0,103.44,7.88,8.98,6.36,2.62,9.11,10.39,7.48,2.91
2018,1,15,2.5,88.56,0.2,103.46,6.51,8.12,4.3,3.81,7.54,9.02,5.18,3.85
2018,1,16,3.48,85.0,0.41,102.99,2.88,3.83,2.03,1.8,3.59,5.73,2.33,3.41
2018,1,17,3.54,89.62,7.45,102.26,6.27,8.55,3.59,4.96,7.34,9.77,4.52,5.26
2018,1,18,2.32,79.31,0.0,101.67,7.18,8.33,5.34,2.99,8.65,9.88,6.59,3.29
2018,1,19,2.93,78.25,0.0,101.64,5.82,6.77,4.91,1.86,7.29,8.68,6.18,2.5
2018,1,20,3.91,80.69,0.0,101.32,6.36,8.39,4.77,3.62,9.01,10.34,6.7,3.65
2018,1,21,4.27,83.56,0.02,101.99,3.02,4.69,1.02,3.67,4.23,6.56,1.38,5.18
2018,1,22,5.07,95.5,0.62,101.93,2.62,3.98,0.12,3.85,4.18,6.66,0.13,6.54
2018,1,23,6.23,92.94,21.19,100.61,7.88,15.68,3.97,11.71,11.89,20.41,6.81,13.59
2018,1,24,3.36,75.94,0.02,101.42,7.19,8.03,6.08,1.95,9.16,9.91,7.84,2.06
2018,1,25,2.2,65.88,0.0,102.83,6.61,8.98,4.12,4.86,7.96,10.3,5.06,5.23
2018,1,26,2.32,64.25,0.0,103.72,3.37,5.55,0.38,5.16,4.22,7.45,0.55,6.89
2018,1,27,4.7,90.94,0.02,102.91,6.91,7.99,4.91,3.07,9.91,11.99,6.88,5.12
2018,1,28,5.49,94.12,7.9,102.3,4.07,9.23,1.48,7.74,6.41,13.96,1.95,12.02
2018,1,29,4.03,86.69,1.54,101.9,7.29,8.59,4.65,3.95,9.18,10.5,7.45,3.05
2018,1,30,2.99,81.81,2.59,101.47,7.39,10.77,4.85,5.91,8.77,12.8,5.42,7.38
2018,1,31,2.26,71.75,0.0,102.15,6.5,8.71,3.52,5.19,7.62,10.55,3.76,6.79
2018,2,1,4.03,86.81,6.83,101.32,5.48,8.44,3.65,4.79,7.42,10.57,5.76,4.81
2018,2,2,2.44,75.44,15.73,101.71,9.47,11.76,3.94,7.82,11.23,13.89,5.75,8.14
