-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  40.6943   Longitude -73.9249 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.17 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,-8.6,-10.17,-9.38,-1.09,5.25,-6.06,-11.31
2018,1,2,-5.79,-8.17,-6.98,0.17,5.5,-2.89,-8.39
2018,1,3,-3.87,-9.42,-6.65,-0.1,7.25,-0.1,-7.35
2018,1,4,-2.88,-4.55,-3.72,1.71,5.77,0.26,-5.51
2018,1,5,-8.74,-10.45,-9.6,-1.13,3.6,-6.34,-9.94
2018,1,6,-10.02,-11.29,-10.66,-1.99,2.93,-8.85,-11.78
2018,1,7,-9.74,-11.17,-10.45,-2.54,7.29,-6.25,-13.54
2018,1,8,-2.09,-4.88,-3.49,1.24,6.7,0.62,-6.09
2018,1,9,0.91,-1.56,-0.32,1.8,5.18,4.0,-1.18
2018,1,10,1.05,-2.45,-0.7,1.33,6.51,4.2,-2.31
2018,1,11,4.78,4.55,4.66,3.37,2.34,5.9,3.57
2018,1,12,7.84,8.15,8.0,4.69,3.04,9.07,6.03
2018,1,13,1.86,-0.78,0.54,3.52,14.68,10.01,-4.67
2018,1,14,-5.08,-9.09,-7.08,0.58,3.7,-2.94,-6.64
2018,1,15,-3.3,-5.35,-4.32,0.67,4.62,-0.85,-5.48
2018,1,16,1.22,-1.16,0.03,2.25,7.62,4.06,-3.56
2018,1,17,0.57,-1.06,-0.24,2.44,8.69,3.86,-4.83
2018,1,18,-2.96,-6.33,-4.65,0.57,6.04,0.59,-5.45
2018,1,19,0.09,-3.4,-1.66,1.27,5.6,2.58,-3.02
2018,1,20,3.44,0.33,1.89,2.74,6.97,7.36,0.39
2018,1,21,4.44,1.84,3.15,3.49,5.27,7.19,1.92
2018,1,22,4.84,4.21,4.52,4.12,2.39,6.18,3.79
2018,1,23,7.81,6.75,7.28,5.51,7.51,11.69,4.19
2018,1,24,2.08,-1.81,0.14,2.63,6.12,4.09,-2.02
2018,1,25,-1.15,-6.74,-3.95,1.57,3.74,0.96,-2.78
2018,1,26,-0.17,-6.06,-3.12,1.92,4.3,1.8,-2.49
2018,1,27,4.65,3.26,3.96,3.54,5.93,7.78,1.85
2018,1,28,6.23,5.37,5.8,4.37,3.64,7.87,4.23
2018,1,29,3.11,1.08,2.1,3.33,4.8,5.19,0.39
