-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  59.3294   Longitude 18.0686 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 26.64 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
2018,1,1,4.58,99.31,4.5,98.46,2.16,3.41,1.55,1.86,3.94,6.2,2.69,3.51
2018,1,2,4.39,99.0,0.8,99.12,2.73,2.96,2.45,0.52,4.73,5.29,3.78,1.51
2018,1,3,4.21,98.5,0.95,99.18,2.48,3.25,1.59,1.66,4.59,5.6,3.59,2.01
2018,1,4,4.27,96.75,4.75,98.69,3.21,3.76,2.06,1.7,5.4,6.2,3.46,2.73
2018,1,5,3.91,97.88,1.73,98.58,1.55,2.84,0.14,2.7,2.53,4.52,0.25,4.28
2018,1,6,2.26,89.75,0.07,99.93,2.85,3.16,2.35,0.81,4.37,4.95,3.57,1.38
2018,1,7,2.08,87.44,0.04,101.65,3.93,6.05,2.63,3.42,6.29,10.37,3.87,6.5
2018,1,8,2.44,93.69,0.01,102.55,2.89,4.12,2.33,1.79,4.7,6.87,3.43,3.44
2018,1,9,2.56,98.94,0.05,102.63,2.17,2.55,1.19,1.36,3.73,5.2,2.2,2.99
2018,1,10,2.38,99.31,0.23,102.14,1.53,2.2,1.05,1.16,2.55,3.37,1.48,1.89
2018,1,11,3.36,98.06,0.73,102.45,1.86,2.3,1.58,0.72,3.45,4.27,2.46,1.81
2018,1,12,3.05,97.5,0.31,103.46,1.74,2.07,1.26,0.82,3.71,4.75,2.63,2.12
2018,1,13,2.69,94.81,0.23,103.66,1.92,2.14,1.65,0.5,4.15,5.0,3.1,1.9
2018,1,14,2.93,91.06,0.28,103.05,2.81,3.62,2.18,1.44,5.2,6.19,4.59,1.59
2018,1,15,2.75,83.25,0.62,101.37,4.74,6.23,3.25,2.98,7.94,9.99,5.68,4.31
2018,1,16,3.23,87.0,5.72,98.93,6.4,7.48,4.72,2.77,10.01,11.56,7.43,4.12
2018,1,17,2.75,92.75,3.88,98.65,3.27,4.8,2.09,2.71,5.34,7.41,3.65,3.75
2018,1,18,2.62,94.94,0.14,99.13,2.0,2.37,1.57,0.8,3.78,4.95,2.63,2.33
2018,1,19,2.56,93.75,2.24,99.92,1.93,2.4,1.37,1.03,3.58,4.25,2.5,1.75
2018,1,20,2.87,98.69,1.67,100.47,1.96,2.33,1.19,1.15,3.54,4.2,2.09,2.11
2018,1,21,2.62,99.0,0.56,101.06,1.56,2.68,0.58,2.11,2.41,4.42,0.7,3.73
2018,1,22,1.83,98.12,0.1,101.14,2.08,2.62,1.52,1.11,3.23,4.29,2.41,1.88
2018,1,23,2.5,96.75,1.63,101.37,2.75,4.3,1.87,2.42,4.57,7.27,2.65,4.62
2018,1,24,4.09,99.06,10.34,99.49,4.62,6.55,3.25,3.3,7.81,11.82,5.35,6.47
2018,1,25,4.7,93.94,0.14,99.3,5.61,7.12,3.91,3.21,9.83,12.13,7.07,5.06
2018,1,26,4.33,95.19,0.32,100.81,3.01,3.77,2.24,1.52,5.44,6.74,4.3,2.45
2018,1,27,3.48,97.0,0.73,101.45,2.42,2.74,1.75,0.99,4.02,5.25,3.28,1.97
2018,1,28,3.85,98.88,4.25,99.96,2.11,3.61,0.83,2.78,3.43,5.78,1.81,3.97
2018,1,29,3.54,98.5,4.11,99.85,1.77,2.62,0.3,2.31,3.02,4.34,0.4,3.95
2018,1,30,3.11,97.69,0.73,100.37,2.41,3.25,1.63,1.62,4.03,5.38,2.55,2.83
2018,1,31,3.6,97.75,8.02,99.81,3.16,5.31,1.73,3.58,5.0,8.2,2.66,5.55
2018,2,1,3.91,99.06,7.12,98.55,2.49,3.47,1.34,2.12,4.33,5.66,2.83,2.84
2018,2,2,3.05,97.88,1.16,99.79,2.27,4.05,1.05,2.98,3.66,6.58,1.51,5.07
2018,2,3,2.93,96.31,3.37,100.66,3.43,4.19,2.89,1.3,5.59,6.81,4.72,2.09
2018,2,4,2.2,93.75,0.31,102.34,3.4,4.16,2.6,1.55,5.82,7.1,4.3,2.8
2018,2,5,1.71,96.38,0.03,102.73,2.28,2.73,1.71,1.02,3.55,4.34,2.78,1.56
2018,2,6,1.89,99.56,0.11,101.15,2.69,3.08,2.3,0.78,4.23,5.36,3.51,1.85
2018,2,7,1.89,98.0,0.1,100.98,2.14,2.5,1.84,0.66,3.71,4.83,2.74,2.09
2018,2,8,2.69,99.44,0.24,101.25,1.88,2.3,1.43,0.87,3.45,5.09,2.09,2.99
2018,2,9,2.87,97.88,0.09,101.58,2.2,2.77,1.47,1.3,4.01,5.47,2.69,2.79
2018,2,10,2.81,97.94,0.28,101.5,2.14,2.6,1.27,1.32,3.75,5.16,1.64,3.52
2018,2,11,2.69,94.69,0.72,100.4,2.32,2.88,2.07,0.81,4.41,5.09,3.61,1.48
2018,2,12,3.72,97.44,2.67,99.55,3.83,4.83,2.89,1.94,6.41,7.98,4.91,3.06
2018,2,13,3.66,98.31,1.83,100.38,3.16,4.28,1.98,2.3,5.45,7.12,3.69,3.43
2018,2,14,3.36,97.69,0.23,101.8,2.05,2.3,1.89,0.41,4.01,5.2,2.95,2.23
2018,2,15,3.17,98.25,0.24,101.96,2.41,2.73,2.22,0.51,4.63,5.26,3.68,1.59
2018,2,16,3.17,97.38,1.24,101.38,1.89,2.45,1.55,0.9,3.63,4.4,2.91,1.48
2018,2,17,2.87,93.44,0.25,101.89,1.3,1.86,0.54,1.32,2.41,4.12,0.85,3.26
2018,2,18,2.69,95.25,1.18,101.97,1.34,1.93,0.54,1.39,2.23,4.2,0.73,3.48
2018,2,19,2.5,93.38,0.64,102.2,2.48,3.02,1.93,1.09,4.41,4.95,3.52,1.43
2018,2,20,2.01,90.25,0.46,102.47,1.58,2.04,1.2,0.84,2.72,3.45,1.97,1.48
2018,2,21,1.83,86.44,0.11,102.4,1.27,1.62,0.66,0.96,2.06,2.95,0.82,2.14
2018,2,22,1.95,87.12,0.15,102.51,1.01,1.88,0.31,1.57,1.66,3.72,0.38,3.34
2018,2,23,2.08,94.0,0.51,102.52,2.2,3.19,0.82,2.37,3.73,5.25,1.24,4.0
2018,2,24,1.65,89.56,0.04,103.45,2.36,2.78,1.91,0.88,3.88,4.55,3.28,1.27
2018,2,25,1.71,89.81,0.43,103.55,3.23,3.8,2.59,1.21,5.49,6.5,4.48,2.02
2018,2,26,2.14,94.19,2.59,103.12,3.36,3.59,2.91,0.68,5.71,6.09,4.87,1.21
2018,2,27,1.22,88.56,2.65,103.7,4.61,5.55,3.53,2.02,7.38,8.51,6.02,2.5
