-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  59.3294   Longitude 18.0686 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 26.64 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,2.37,2.28,2.33,2.25,1.83,2.9,1.08
2018,1,2,1.89,1.77,1.83,1.9,2.43,3.12,0.69
2018,1,3,1.4,1.19,1.3,1.33,2.47,2.51,0.04
2018,1,4,1.96,1.51,1.73,1.9,0.45,2.17,1.73
2018,1,5,0.36,-0.0,0.18,0.17,5.48,2.04,-3.44
2018,1,6,-5.04,-6.83,-5.93,-4.88,2.83,-3.79,-6.62
2018,1,7,-5.51,-7.61,-6.56,-5.62,8.19,-1.36,-9.55
2018,1,8,-4.26,-5.44,-4.85,-4.28,3.09,-2.75,-5.85
2018,1,9,-4.77,-4.93,-4.85,-4.74,4.87,-2.56,-7.42
2018,1,10,-5.92,-6.02,-5.97,-6.74,6.01,-2.85,-8.86
2018,1,11,-0.96,-1.3,-1.13,-0.9,3.22,0.43,-2.79
2018,1,12,-2.17,-2.58,-2.38,-2.38,2.95,-0.5,-3.45
2018,1,13,-3.07,-4.06,-3.56,-3.35,2.83,-1.02,-3.85
2018,1,14,-1.63,-3.06,-2.35,-1.68,3.09,0.08,-3.01
2018,1,15,-1.68,-4.24,-2.96,-1.63,1.41,-0.95,-2.37
2018,1,16,-0.35,-2.24,-1.29,-0.26,0.81,0.05,-0.77
2018,1,17,-3.2,-4.46,-3.83,-3.04,5.05,-0.45,-5.51
2018,1,18,-4.08,-5.13,-4.6,-5.06,4.42,-1.27,-5.7
2018,1,19,-4.03,-5.22,-4.63,-4.49,4.12,-1.73,-5.85
2018,1,20,-3.4,-3.78,-3.6,-4.42,3.57,-0.75,-4.31
2018,1,21,-4.17,-4.68,-4.42,-5.5,3.77,-2.69,-6.45
2018,1,22,-8.5,-9.24,-8.87,-9.64,4.71,-6.22,-10.93
2018,1,23,-4.88,-5.62,-5.24,-6.08,9.69,-0.96,-10.64
2018,1,24,1.01,0.9,0.95,0.97,4.68,3.98,-0.7
2018,1,25,3.65,2.78,3.22,3.23,2.15,4.95,2.8
2018,1,26,2.54,1.86,2.2,2.34,1.72,3.41,1.69
2018,1,27,-0.57,-0.97,-0.77,-0.3,4.3,1.69,-2.6
2018,1,28,0.26,0.08,0.16,0.39,2.94,1.49,-1.45
2018,1,29,-0.65,-0.93,-0.79,-0.57,2.32,0.49,-1.83
2018,1,30,-2.32,-2.78,-2.56,-2.53,3.63,-0.57,-4.2
2018,1,31,-0.59,-0.99,-0.79,-0.7,4.83,1.21,-3.62
2018,2,1,0.26,0.14,0.2,0.36,2.27,1.15,-1.11
2018,2,2,-2.54,-3.11,-2.82,-2.42,2.71,-1.22,-3.93
2018,2,3,-2.75,-3.56,-3.16,-2.55,2.52,-1.6,-4.13
2018,2,4,-5.59,-6.78,-6.19,-5.35,4.2,-3.89,-8.09
2018,2,5,-9.17,-9.72,-9.45,-10.31,7.53,-5.31,-12.85
2018,2,6,-8.58,-8.93,-8.75,-8.3,6.47,-6.06,-12.53
2018,2,7,-8.28,-8.73,-8.51,-7.86,7.4,-4.84,-12.24
2018,2,8,-4.42,-4.58,-4.5,-4.25,6.87,-1.17,-8.03
2018,2,9,-3.52,-3.72,-3.62,-4.05,5.46,-0.25,-5.71
2018,2,10,-3.7,-3.97,-3.83,-5.33,5.72,-0.52,-6.23
2018,2,11,-3.43,-4.46,-3.95,-3.45,3.81,-1.34,-5.15
2018,2,12,-0.1,-0.52,-0.31,-0.21,4.33,1.35,-2.98
2018,2,13,-0.15,-0.4,-0.27,-0.26,2.38,0.58,-1.8
2018,2,14,-1.17,-1.6,-1.38,-1.36,3.96,1.15,-2.81
2018,2,15,-1.9,-2.13,-2.01,-2.3,4.41,0.75,-3.67
2018,2,16,-1.7,-2.24,-1.97,-1.9,3.23,0.18,-3.06
2018,2,17,-2.53,-3.61,-3.07,-3.26,4.94,0.21,-4.73
2018,2,18,-3.49,-4.39,-3.94,-3.84,4.21,-1.1,-5.31
2018,2,19,-4.1,-5.32,-4.7,-4.13,4.12,-2.05,-6.17
2018,2,20,-6.11,-7.89,-7.0,-6.7,4.88,-3.31,-8.2
2018,2,21,-6.49,-8.81,-7.65,-7.92,6.45,-3.13,-9.58
2018,2,22,-5.96,-8.09,-7.02,-8.41,5.71,-2.26,-7.97
2018,2,23,-6.17,-7.39,-6.78,-6.24,5.83,-3.07,-8.9
2018,2,24,-8.27,-9.96,-9.12,-8.42,5.68,-5.24,-10.92
2018,2,25,-7.83,-9.66,-8.74,-7.67,6.61,-4.95,-11.56
2018,2,26,-5.75,-6.95,-6.35,-5.58,4.59,-3.22,-7.81
2018,2,27,-11.29,-13.13,-12.21,-10.62,4.59,-8.21,-12.81
2018,2,28,-11.27,-12.4,-11.84,-11.11,6.77,-8.19,-14.95
2018,3,1,-9.4,-10.49,-9.95,-9.38,9.42,-5.17,-14.59
2018,3,2,-7.32,-8.58,-7.95,-7.42,6.78,-3.59,-10.37
2018,3,3,-7.57,-9.15,-8.36,-8.24,6.67,-3.51,-10.18
2018,3,4,-6.15,-8.06,-7.1,-6.83,5.98,-2.97,-8.95
2018,3,5,-4.87,-6.53,-5.7,-5.81,7.39,-1.49,-8.88
2018,3,6,-2.74,-4.0,-3.37,-2.77,3.92,-0.45,-4.38
2018,3,7,-2.32,-3.32,-2.82,-2.24,5.65,0.5,-5.15
2018,3,8,-1.77,-2.25,-2.01,-1.68,1.88,-0.85,-2.74
2018,3,9,-0.22,-0.42,-0.31,-0.45,1.91,0.83,-1.09
2018,3,10,-2.24,-2.6,-2.42,-2.61,4.11,-0.78,-4.9
2018,3,11,-2.54,-3.15,-2.85,-2.85,6.37,0.33,-6.03
2018,3,12,0.29,0.19,0.23,0.18,1.73,0.87,-0.85
2018,3,13,-0.38,-0.63,-0.5,-0.42,2.97,0.51,-2.45
2018,3,14,-3.81,-4.81,-4.31,-3.55,6.07,-1.45,-7.52
2018,3,15,-6.42,-7.67,-7.05,-6.49,6.74,-3.12,-9.85
2018,3,16,-8.17,-9.8,-8.98,-8.8,7.88,-4.24,-12.11
2018,3,17,-7.22,-8.67,-7.95,-7.7,9.59,-2.06,-11.64
2018,3,18,-5.95,-7.16,-6.56,-6.19,15.27,0.69,-14.58
2018,3,19,-1.91,-2.77,-2.34,-1.92,4.76,0.69,-4.06
2018,3,20,-3.23,-5.08,-4.16,-3.91,5.84,-1.03,-6.88
2018,3,21,-1.35,-2.42,-1.88,-1.54,11.05,3.13,-7.92
2018,3,22,0.48,-0.6,-0.06,0.38,6.83,4.59,-2.23
2018,3,23,0.88,-1.12,-0.12,0.75,7.2,4.91,-2.29
