-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  39.1467   Longitude 117.2056 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.03 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
2018,1,1,2.32,68.81,0.0,102.71,4.38,6.41,0.86,5.55,6.27,9.01,1.11,7.9
2018,1,2,1.71,57.5,0.0,103.41,4.67,7.44,0.68,6.77,6.35,9.21,0.87,8.34
2018,1,3,1.28,51.62,0.0,103.91,4.1,6.55,1.7,4.86,5.8,9.36,2.58,6.79
2018,1,4,1.28,58.5,0.0,103.42,4.29,6.42,1.38,5.05,5.28,8.01,1.83,6.18
2018,1,5,1.4,53.94,0.0,102.74,3.7,5.49,1.76,3.73,5.18,8.41,2.36,6.04
2018,1,6,1.95,68.25,0.0,102.74,3.47,4.73,2.33,2.41,5.09,8.23,3.08,5.15
2018,1,7,2.38,67.81,0.0,102.19,3.39,6.31,1.6,4.71,4.65,8.69,2.12,6.57
2018,1,8,1.28,50.44,0.0,101.83,7.3,10.46,3.95,6.52,10.0,12.85,6.68,6.16
2018,1,9,1.16,48.06,0.0,102.0,8.0,11.38,4.66,6.73,10.96,13.56,8.02,5.55
2018,1,10,0.92,48.44,0.0,102.87,7.05,8.75,4.72,4.04,9.55,11.87,7.67,4.2
2018,1,11,0.79,49.5,0.0,103.65,4.84,6.86,1.7,5.16,6.73,9.55,2.31,7.24
2018,1,12,1.34,62.0,0.0,103.12,5.21,6.35,3.82,2.53,7.76,8.96,6.27,2.69
2018,1,13,2.14,76.06,0.0,102.64,4.2,5.45,3.07,2.38,6.58,9.79,4.62,5.16
2018,1,14,2.32,69.81,0.0,102.1,4.97,6.47,3.57,2.9,7.84,10.28,5.62,4.66
2018,1,15,2.56,78.75,0.0,102.39,3.95,5.81,0.79,5.02,6.09,9.06,1.02,8.04
2018,1,16,2.38,74.06,0.0,101.92,3.38,4.7,1.68,3.02,5.04,6.49,2.27,4.22
2018,1,17,2.44,79.12,0.0,101.92,3.18,4.98,1.59,3.4,4.53,8.53,2.19,6.34
2018,1,18,1.77,54.06,0.0,102.53,2.84,4.54,0.59,3.95,4.21,7.38,0.73,6.65
2018,1,19,2.14,61.25,0.0,102.23,3.15,3.94,2.24,1.7,4.54,6.21,3.39,2.82
2018,1,20,2.26,68.44,0.0,102.41,5.48,7.38,3.61,3.77,7.82,9.38,6.19,3.19
2018,1,21,2.08,69.88,1.77,102.45,6.09,8.85,4.75,4.1,7.85,10.17,5.06,5.11
2018,1,22,1.22,58.19,0.98,102.52,5.41,7.84,0.69,7.15,6.61,9.73,0.76,8.98
2018,1,23,0.67,44.06,0.0,103.11,5.68,7.88,3.22,4.66,7.66,10.42,4.92,5.5
2018,1,24,0.79,51.31,0.0,103.27,3.27,4.56,1.02,3.55,4.5,7.62,1.35,6.27
2018,1,25,0.85,51.81,0.0,103.79,3.98,7.31,0.48,6.84,5.21,8.53,0.59,7.93
2018,1,26,0.98,50.0,0.0,103.75,1.58,2.35,0.3,2.05,2.0,3.45,0.36,3.09
2018,1,27,1.46,62.75,0.2,103.21,1.41,2.92,0.66,2.27,1.96,4.97,0.67,4.3
2018,1,28,0.98,47.62,0.0,103.08,7.45,10.18,3.42,6.76,9.95,12.2,5.73,6.47
2018,1,29,1.1,49.94,0.0,102.88,5.99,7.84,4.18,3.66,8.5,10.7,6.95,3.75
2018,1,30,1.34,50.25,0.0,102.67,5.19,7.08,3.52,3.55,7.72,10.45,6.3,4.14
2018,1,31,1.34,50.19,0.0,102.93,3.69,5.17,2.11,3.06,5.32,8.77,3.11,5.66
2018,2,1,1.65,53.62,0.0,102.78,3.88,7.99,2.14,5.85,5.59,10.88,3.22,7.66
2018,2,2,1.1,48.5,0.2,103.68,6.52,8.66,2.84,5.84,8.38,10.96,4.05,6.91
2018,2,3,1.04,52.19,0.05,103.66,4.85,6.45,2.86,3.59,6.92,8.27,4.24,4.03
2018,2,4,1.22,53.88,0.0,103.3,4.09,6.85,2.12,4.73,5.62,10.62,2.95,7.66
2018,2,5,0.92,48.0,0.0,103.42,5.51,8.1,1.68,6.42,7.09,11.02,2.18,8.84
2018,2,6,1.1,46.25,0.0,102.9,2.8,5.22,1.48,3.74,3.96,9.07,1.89,7.18
2018,2,7,1.65,67.19,0.26,102.53,5.89,9.75,2.51,7.24,7.81,11.34,3.4,7.94
2018,2,8,1.83,69.25,0.07,102.17,4.62,7.34,2.93,4.41,6.68,8.5,5.12,3.38
2018,2,9,1.46,51.12,0.0,102.05,6.95,9.66,4.11,5.55,9.6,11.84,6.38,5.47
2018,2,10,0.92,41.5,0.0,102.95,5.3,8.38,2.27,6.12,7.27,9.72,3.07,6.65
2018,2,11,0.85,40.62,0.0,102.68,7.64,11.75,3.09,8.65,10.26,13.69,4.87,8.82
2018,2,12,1.22,43.25,0.0,102.38,6.72,9.88,4.2,5.67,9.91,11.64,7.6,4.05
2018,2,13,2.08,55.81,0.0,101.37,4.27,6.1,2.95,3.15,6.45,10.09,3.74,6.34
2018,2,14,1.83,46.31,0.0,102.13,4.34,7.54,0.65,6.89,6.27,11.94,0.91,11.03
2018,2,15,1.95,55.88,0.0,102.42,3.12,5.07,0.89,4.18,4.63,8.98,1.24,7.73
2018,2,16,1.77,52.5,0.0,102.19,4.41,7.74,0.77,6.97,6.26,8.99,0.93,8.06
2018,2,17,2.44,69.0,0.0,102.38,3.52,5.77,1.39,4.38,4.86,7.24,2.11,5.13
2018,2,18,3.11,75.94,0.0,102.38,2.59,4.27,0.19,4.09,3.77,7.52,0.22,7.3
2018,2,19,3.23,86.62,0.0,102.53,3.6,5.1,1.88,3.23,4.7,6.33,2.66,3.66
2018,2,20,2.2,60.69,0.01,102.73,2.93,4.86,0.48,4.38,4.25,6.09,0.69,5.41
2018,2,21,2.14,57.06,0.0,102.39,4.5,6.16,3.09,3.09,6.88,9.54,4.31,5.23
2018,2,22,1.77,43.19,0.0,101.69,2.9,4.77,1.26,3.51,3.87,5.78,1.76,4.02
2018,2,23,2.01,43.19,0.0,101.84,3.63,10.69,0.66,10.03,5.12,13.76,0.84,12.91
2018,2,24,1.59,51.44,0.0,103.3,5.88,9.53,3.1,6.43,7.41,12.1,3.54,8.56
2018,2,25,2.2,63.69,0.0,102.53,3.49,5.05,2.48,2.57,5.18,8.05,2.85,5.2
2018,2,26,3.48,75.31,0.0,101.81,3.35,5.48,0.95,4.54,4.55,8.3,1.28,7.02
2018,2,27,2.81,75.44,0.0,102.19,6.9,10.45,3.38,7.06,8.76,12.25,5.59,6.66
2018,2,28,3.23,73.56,0.0,101.15,4.04,9.71,0.96,8.74,6.02,13.89,1.13,12.77
2018,3,1,1.4,38.81,0.0,102.0,5.23,7.9,1.16,6.73,7.7,11.96,1.69,10.27
2018,3,2,3.36,65.88,0.0,100.95,5.55,8.2,1.93,6.27,7.94,10.34,2.77,7.57
2018,3,3,5.25,89.75,0.0,100.57,4.32,6.8,2.34,4.47,6.55,10.46,2.77,7.69
2018,3,4,2.2,53.25,0.11,102.05,7.41,10.98,2.88,8.09,9.46,13.19,4.28,8.91
2018,3,5,1.77,55.12,0.0,103.01,4.87,7.21,3.4,3.8,6.7,8.45,4.75,3.7
2018,3,6,2.08,61.5,0.0,103.41,5.52,8.23,2.27,5.97,6.87,8.95,3.18,5.77
2018,3,7,3.11,77.75,0.4,102.71,3.01,5.82,0.64,5.18,4.52,8.88,0.86,8.01
2018,3,8,1.65,51.44,0.0,103.26,4.55,8.64,0.34,8.3,6.32,11.04,0.3,10.73
2018,3,9,2.44,59.62,0.0,102.31,4.6,6.27,3.38,2.89,6.81,8.09,4.1,3.98
