-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  39.1467   Longitude 117.2056 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.03 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,-1.12,-6.46,-3.79,-2.47,9.95,3.59,-6.37
2018,1,2,-2.45,-10.05,-6.25,-2.27,6.34,0.27,-6.06
2018,1,3,-4.27,-12.79,-8.53,-3.44,7.34,-0.91,-8.25
2018,1,4,-5.89,-12.66,-9.27,-4.86,4.1,-4.1,-8.19
2018,1,5,-4.06,-12.1,-8.08,-4.27,10.09,1.6,-8.49
2018,1,6,-3.14,-8.47,-5.81,-3.13,12.23,2.57,-9.66
2018,1,7,-0.35,-5.84,-3.1,-0.88,5.16,2.59,-2.57
2018,1,8,-4.1,-13.05,-8.58,-3.71,6.86,-0.83,-7.7
2018,1,9,-4.33,-13.92,-9.12,-4.12,9.46,1.29,-8.17
2018,1,10,-7.11,-16.24,-11.67,-6.05,7.66,-2.9,-10.55
2018,1,11,-9.27,-17.94,-13.6,-8.33,7.48,-5.08,-12.56
2018,1,12,-6.2,-12.69,-9.45,-5.95,14.6,2.39,-12.21
2018,1,13,-3.34,-7.28,-5.31,-3.57,12.51,3.3,-9.22
2018,1,14,-0.7,-6.07,-3.39,-1.44,10.71,5.65,-5.06
2018,1,15,-1.54,-5.02,-3.27,-2.42,8.59,2.37,-6.21
2018,1,16,-1.37,-6.06,-3.71,-1.67,8.91,3.57,-5.35
2018,1,17,-2.68,-5.89,-4.29,-4.1,7.63,1.77,-5.86
2018,1,18,-1.13,-9.38,-5.25,-2.82,12.25,5.35,-6.9
2018,1,19,0.15,-7.23,-3.54,-1.53,11.96,6.6,-5.36
2018,1,20,-1.23,-6.46,-3.85,-1.41,9.02,3.4,-5.63
2018,1,21,-2.65,-7.51,-5.08,-1.92,4.58,-0.02,-4.6
2018,1,22,-6.56,-13.37,-9.96,-5.17,3.5,-4.63,-8.13
2018,1,23,-10.47,-19.88,-15.17,-9.23,7.7,-6.57,-14.27
2018,1,24,-8.82,-17.41,-13.12,-8.47,10.38,-3.78,-14.17
2018,1,25,-9.1,-17.24,-13.17,-8.77,7.17,-5.63,-12.79
2018,1,26,-7.62,-15.92,-11.77,-7.74,7.26,-3.99,-11.24
2018,1,27,-5.45,-11.48,-8.46,-5.08,4.94,-2.85,-7.79
2018,1,28,-7.17,-16.37,-11.77,-6.14,7.45,-3.66,-11.1
2018,1,29,-6.04,-14.75,-10.39,-5.77,9.95,-0.81,-10.76
2018,1,30,-3.53,-12.62,-8.07,-4.07,12.74,3.29,-9.46
2018,1,31,-3.49,-12.52,-8.0,-3.79,11.5,2.34,-9.16
2018,2,1,-1.85,-10.21,-6.03,-2.67,11.97,4.52,-7.45
2018,2,2,-5.11,-14.45,-9.78,-4.42,7.07,-2.22,-9.29
2018,2,3,-6.72,-15.24,-10.98,-6.14,11.06,-0.78,-11.85
2018,2,4,-5.27,-13.59,-9.43,-5.32,13.53,1.42,-12.12
2018,2,5,-6.95,-16.16,-11.56,-6.28,8.05,-2.83,-10.89
2018,2,6,-4.97,-14.7,-9.84,-5.68,10.3,0.63,-9.67
2018,2,7,-4.41,-10.05,-7.23,-4.17,7.98,0.3,-7.68
2018,2,8,-3.81,-9.11,-6.46,-3.88,11.17,1.7,-9.46
2018,2,9,-1.92,-11.7,-6.81,-2.17,11.13,4.48,-6.64
2018,2,10,-5.46,-16.43,-10.95,-5.16,8.56,-0.4,-8.96
2018,2,11,-5.65,-16.83,-11.24,-4.95,6.31,-2.31,-8.62
2018,2,12,-2.61,-13.42,-8.01,-2.81,12.09,3.3,-8.79
2018,2,13,0.68,-7.59,-3.45,-0.52,15.84,9.05,-6.79
2018,2,14,1.03,-9.18,-4.08,-0.03,6.24,4.3,-1.94
2018,2,15,-0.11,-8.27,-4.19,-0.27,10.4,5.11,-5.29
2018,2,16,-0.2,-9.35,-4.77,-0.03,8.99,5.41,-3.58
2018,2,17,-0.15,-5.48,-2.81,0.07,7.4,3.86,-3.54
2018,2,18,1.51,-2.47,-0.48,1.44,7.71,6.2,-1.5
2018,2,19,0.25,-1.88,-0.82,0.75,5.62,3.79,-1.84
2018,2,20,0.51,-6.82,-3.16,0.98,7.8,5.19,-2.6
2018,2,21,1.19,-7.17,-2.99,1.09,11.09,7.9,-3.19
2018,2,22,2.19,-9.44,-3.63,0.26,11.34,8.25,-3.09
2018,2,23,3.92,-7.92,-2.0,2.26,12.7,11.42,-1.27
2018,2,24,-1.69,-10.54,-6.11,-0.16,5.86,1.58,-4.27
2018,2,25,-0.16,-6.74,-3.45,0.86,10.48,6.1,-4.38
2018,2,26,3.5,-0.88,1.3,2.69,10.92,9.59,-1.34
2018,2,27,0.11,-3.82,-1.86,0.48,3.97,2.54,-1.43
2018,2,28,2.17,-2.27,-0.05,2.17,8.22,7.12,-1.1
2018,3,1,0.5,-12.17,-5.84,1.3,10.03,5.98,-4.06
2018,3,2,4.25,-2.02,1.12,3.69,15.03,12.62,-2.41
2018,3,3,6.19,4.49,5.34,5.9,9.0,12.4,3.4
2018,3,4,1.63,-7.24,-2.81,1.94,7.55,4.76,-2.79
2018,3,5,-1.08,-9.47,-5.27,0.12,7.7,3.77,-3.92
2018,3,6,-0.84,-7.55,-4.2,0.1,6.15,2.92,-3.23
2018,3,7,1.27,-2.38,-0.56,1.59,7.89,6.1,-1.79
2018,3,8,-1.02,-10.36,-5.69,0.83,9.41,4.51,-4.89
2018,3,9,1.92,-5.79,-1.93,2.05,14.52,9.86,-4.66
2018,3,10,1.87,-3.63,-0.88,1.81,9.12,6.9,-2.22
2018,3,11,1.33,-1.53,-0.1,2.01,8.57,6.37,-2.2
2018,3,12,6.03,2.95,4.49,5.25,13.96,13.33,-0.63
2018,3,13,8.23,6.51,7.37,7.56,13.48,16.72,3.23
2018,3,14,12.21,7.73,9.97,11.26,19.02,22.48,3.47
2018,3,15,4.66,-4.59,0.04,5.18,11.23,9.84,-1.38
2018,3,16,0.97,-8.54,-3.78,2.79,11.62,7.32,-4.31
2018,3,17,1.85,-3.75,-0.95,2.35,7.72,5.86,-1.86
2018,3,18,3.21,-1.28,0.96,4.55,9.09,8.59,-0.49
2018,3,19,4.95,-4.31,0.33,4.94,11.61,11.5,-0.11
2018,3,20,3.12,-9.73,-3.31,2.98,6.2,6.88,0.68
2018,3,21,4.35,-6.91,-1.27,5.34,13.3,11.44,-1.86
2018,3,22,7.05,-3.4,1.83,7.4,16.08,16.01,-0.07
2018,3,23,10.18,2.58,6.37,9.87,16.44,20.15,3.71
2018,3,24,10.6,-0.08,5.26,10.23,18.98,20.36,1.37
2018,3,25,13.95,0.71,7.33,12.72,18.77,23.94,5.18
2018,3,26,14.98,4.85,9.91,13.92,17.3,24.51,7.2
2018,3,27,17.01,6.55,11.78,15.97,17.1,26.44,9.33
2018,3,28,12.23,2.05,7.14,11.62,10.59,17.35,6.76
2018,3,29,9.28,-2.42,3.43,9.65,9.69,15.08,5.38
2018,3,30,9.33,0.43,4.88,10.26,14.08,16.65,2.58
2018,3,31,13.09,6.04,9.57,13.41,13.02,21.21,8.19
2018,4,1,12.0,6.29,9.14,13.18,16.2,21.06,4.87
2018,4,2,18.0,8.28,13.14,17.06,19.27,29.35,10.08
2018,4,3,8.48,-3.96,2.26,9.12,9.45,12.34,2.9
2018,4,4,4.4,-5.65,-0.63,6.55,10.32,10.17,-0.15
2018,4,5,3.69,-1.28,1.21,4.87,6.38,7.15,0.78
2018,4,6,4.3,-6.22,-0.95,5.18,9.68,9.25,-0.43
2018,4,7,5.15,-6.62,-0.74,6.6,13.34,11.53,-1.81
2018,4,8,9.69,-1.03,4.33,10.49,16.58,17.94,1.37
2018,4,9,13.13,3.33,8.23,13.28,19.71,23.69,3.97
2018,4,10,16.24,4.12,10.18,15.74,15.12,24.82,9.69
2018,4,11,15.39,1.5,8.44,15.09,15.7,23.17,7.47
2018,4,12,12.44,-0.29,6.08,12.73,9.35,17.73,8.38
2018,4,13,8.8,5.35,7.08,9.33,5.71,12.25,6.54
2018,4,14,11.21,-0.97,5.12,11.78,12.3,18.07,5.77
2018,4,15,11.74,-3.01,4.37,13.23,15.28,19.14,3.85
2018,4,16,14.16,1.53,7.84,14.53,17.59,22.67,5.08
2018,4,17,16.11,5.55,10.83,15.78,14.41,23.94,9.54
2018,4,18,19.05,9.49,14.26,18.4,16.28,27.56,11.28
2018,4,19,17.12,10.15,13.64,17.73,12.9,23.44,10.54
2018,4,20,19.3,9.32,14.31,19.35,16.98,27.81,10.83
2018,4,21,16.24,11.6,13.92,15.8,10.62,20.83,10.21
2018,4,22,11.88,7.44,9.66,12.19,6.03,15.3,9.27
2018,4,23,13.34,8.47,10.9,13.09,6.55,16.36,9.8
2018,4,24,15.27,3.09,9.19,15.6,15.98,22.73,6.76
2018,4,25,17.28,5.28,11.28,17.59,15.66,25.17,9.51
2018,4,26,18.54,9.34,13.94,18.71,15.95,26.74,10.8
2018,4,27,16.43,2.08,9.26,17.49,12.84,22.76,9.93
2018,4,28,20.3,9.76,15.03,20.13,17.52,28.92,11.4
2018,4,29,22.22,12.29,17.26,21.79,13.49,29.69,16.2
2018,4,30,16.54,11.18,13.86,17.68,6.35,19.62,13.27
2018,5,1,15.65,9.83,12.74,16.26,7.99,20.55,12.56
2018,5,2,17.21,5.86,11.53,17.73,11.38,23.19,11.81
2018,5,3,16.6,0.98,8.8,17.66,12.19,22.45,10.26
2018,5,4,19.6,7.79,13.69,19.87,18.3,28.46,10.15
2018,5,5,19.49,10.62,15.05,19.72,10.07,24.24,14.17
2018,5,6,19.51,8.69,14.1,21.01,13.59,26.23,12.65
2018,5,7,18.11,6.04,12.07,18.93,11.57,23.52,11.95
2018,5,8,17.55,3.71,10.63,18.97,14.91,25.4,10.48
2018,5,9,19.07,5.55,12.31,20.08,12.51,25.69,13.19
2018,5,10,20.69,8.95,14.82,21.47,13.31,27.71,14.39
2018,5,11,19.76,10.84,15.3,20.81,10.42,26.15,15.73
2018,5,12,19.85,13.87,16.86,21.48,11.25,25.91,14.66
2018,5,13,21.72,13.48,17.6,23.08,12.05,28.34,16.29
2018,5,14,26.37,13.93,20.15,26.31,17.62,34.97,17.35
2018,5,15,24.79,19.0,21.89,24.55,7.78,29.17,21.38
2018,5,16,22.51,19.4,20.95,23.83,7.62,27.12,19.5
2018,5,17,21.73,14.23,17.98,23.08,10.42,27.8,17.39
2018,5,18,21.69,10.95,16.32,23.33,10.74,27.9,17.15
2018,5,19,21.31,8.48,14.89,22.3,11.83,27.35,15.52
2018,5,20,18.51,12.98,15.74,20.55,8.06,23.67,15.61
2018,5,21,16.77,11.71,14.24,18.18,3.0,18.05,15.05
2018,5,22,18.86,5.9,12.38,19.76,13.05,26.56,13.51
2018,5,23,21.99,5.4,13.69,21.94,18.95,30.8,11.85
2018,5,24,23.55,10.92,17.23,24.1,16.67,31.45,14.79
2018,5,25,23.48,14.48,18.98,24.45,12.8,30.15,17.36
2018,5,26,24.3,15.19,19.75,24.59,13.09,29.95,16.87
2018,5,27,26.11,6.9,16.51,26.95,14.48,32.8,18.33
2018,5,28,24.9,4.51,14.71,25.14,13.18,31.47,18.3
2018,5,29,24.32,7.62,15.97,25.2,14.38,31.12,16.74
2018,5,30,24.79,8.14,16.46,26.67,14.28,31.58,17.3
2018,5,31,26.38,9.42,17.9,28.12,17.66,35.18,17.52
2018,6,1,26.98,10.0,18.49,28.53,15.73,34.4,18.66
2018,6,2,27.36,12.14,19.75,28.26,13.59,33.34,19.76
2018,6,3,26.15,14.54,20.35,27.66,11.91,33.05,21.13
2018,6,4,27.74,10.92,19.33,29.49,13.42,34.08,20.66
2018,6,5,30.89,7.73,19.3,31.12,17.1,39.54,22.43
2018,6,6,30.44,12.96,21.7,30.51,14.43,37.9,23.47
2018,6,7,25.03,16.54,20.79,26.96,9.55,30.23,20.67
2018,6,8,24.66,15.26,19.97,26.38,12.06,31.28,19.22
2018,6,9,20.23,16.79,18.51,21.15,3.73,21.55,17.82
2018,6,10,19.54,16.01,17.77,21.15,5.3,22.76,17.46
2018,6,11,21.83,15.69,18.76,24.3,9.76,27.27,17.51
2018,6,12,24.22,16.88,20.55,25.8,11.44,29.94,18.5
2018,6,13,21.15,18.33,19.74,22.23,5.6,23.21,17.61
2018,6,14,22.23,15.79,19.01,24.32,13.01,29.34,16.33
2018,6,15,22.62,16.65,19.63,24.56,9.98,27.69,17.71
2018,6,16,24.5,18.92,21.71,24.79,10.26,30.05,19.8
2018,6,17,24.35,19.98,22.17,24.25,6.48,28.4,21.91
2018,6,18,25.62,18.58,22.1,26.57,10.94,31.54,20.6
2018,6,19,24.44,19.02,21.73,25.48,8.62,29.15,20.53
2018,6,20,27.45,17.48,22.46,28.04,14.87,34.89,20.02
2018,6,21,27.6,17.69,22.64,28.26,10.77,34.04,23.26
2018,6,22,26.87,18.0,22.43,26.44,7.27,30.98,23.7
2018,6,23,29.07,16.39,22.73,29.58,13.81,35.68,21.87
2018,6,24,29.05,16.18,22.62,29.52,11.98,35.9,23.94
2018,6,25,27.25,20.07,23.66,27.57,8.63,31.91,23.28
2018,6,26,28.02,20.16,24.09,29.5,11.83,33.84,22.01
2018,6,27,31.37,16.19,23.78,31.92,16.1,39.27,23.17
2018,6,28,29.31,15.12,22.21,30.63,12.81,35.49,22.68
2018,6,29,30.76,15.28,23.02,31.62,15.84,38.42,22.57
2018,6,30,28.47,17.81,23.14,30.01,11.14,34.8,23.67
2018,7,1,26.77,20.29,23.53,28.79,8.45,31.35,22.91
2018,7,2,27.29,19.99,23.64,29.65,9.85,32.39,22.54
