-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  35.6897   Longitude 139.6922 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 38.67 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
2018,1,1,4.09,77.94,0.0,100.92,4.18,5.92,2.33,3.59,6.58,8.63,3.78,4.86
2018,1,2,3.54,69.69,0.0,101.13,4.55,7.61,1.35,6.26,6.82,9.73,1.87,7.86
2018,1,3,3.23,69.75,0.01,100.98,6.84,10.48,4.44,6.05,10.17,13.97,7.63,6.34
2018,1,4,3.3,73.0,0.0,101.47,4.73,6.17,3.92,2.24,7.34,7.8,6.64,1.16
2018,1,5,3.48,79.62,1.38,101.13,3.02,3.88,1.95,1.92,4.64,6.38,2.66,3.72
2018,1,6,3.54,73.69,0.02,100.77,3.17,5.6,1.37,4.23,5.01,9.43,2.24,7.2
2018,1,7,3.42,66.25,0.0,101.59,3.94,6.13,0.84,5.3,5.74,9.94,1.08,8.87
2018,1,8,5.8,86.19,17.11,101.04,2.27,4.61,0.34,4.26,3.5,6.51,0.62,5.88
2018,1,9,6.47,78.06,13.75,99.4,6.62,11.01,2.53,8.48,9.93,14.5,4.11,10.38
2018,1,10,3.91,70.69,0.01,100.42,6.15,8.8,4.37,4.44,9.06,11.41,7.24,4.16
2018,1,11,3.17,64.88,0.0,100.9,5.15,7.12,2.91,4.2,7.62,9.64,4.61,5.03
2018,1,12,2.62,63.44,0.0,101.52,3.12,4.59,0.7,3.88,4.85,7.42,0.91,6.51
2018,1,13,2.99,69.06,0.01,101.77,3.05,7.4,1.19,6.22,4.48,10.05,1.53,8.52
2018,1,14,3.05,70.5,0.01,102.37,4.23,6.96,1.83,5.13,6.05,9.68,2.48,7.2
2018,1,15,4.39,77.19,0.0,101.98,4.59,7.43,2.12,5.3,6.91,10.07,2.88,7.18
2018,1,16,4.88,78.19,0.0,101.57,2.86,4.23,0.29,3.95,4.42,7.12,0.36,6.76
2018,1,17,8.24,94.5,18.6,100.83,5.83,8.45,4.12,4.32,9.0,11.87,6.95,4.91
2018,1,18,5.25,77.62,0.01,100.9,2.69,7.42,0.43,6.99,4.07,9.5,0.55,8.95
2018,1,19,4.27,74.75,0.01,101.46,4.12,5.91,2.73,3.17,6.38,7.73,3.58,4.14
2018,1,20,4.94,87.38,1.76,101.27,2.41,3.65,0.72,2.94,3.59,6.57,0.9,5.67
2018,1,21,4.33,76.5,0.0,101.26,2.9,6.41,0.62,5.78,4.2,9.56,0.8,8.77
2018,1,22,4.15,90.38,25.12,101.08,7.11,9.78,4.35,5.43,9.46,12.29,7.24,5.05
2018,1,23,3.78,75.5,0.11,100.3,6.25,10.69,1.48,9.21,9.08,14.2,2.29,11.9
2018,1,24,2.75,63.19,0.0,100.38,6.73,8.26,5.33,2.94,9.52,10.8,7.79,3.01
2018,1,25,2.14,63.12,0.01,100.78,5.44,7.91,3.2,4.72,8.18,9.98,5.71,4.27
2018,1,26,2.44,66.31,0.0,100.54,5.26,7.8,3.2,4.6,7.78,10.1,5.52,4.59
2018,1,27,2.62,67.88,0.0,101.2,5.84,8.68,4.18,4.5,8.83,11.12,7.11,4.02
2018,1,28,3.36,76.88,0.14,101.22,3.2,4.75,0.4,4.36,5.16,7.79,0.12,7.66
2018,1,29,3.72,76.38,0.13,100.41,2.7,4.31,0.32,4.0,4.02,7.39,0.38,7.02
2018,1,30,2.81,67.06,0.12,101.22,3.99,6.24,1.97,4.27,5.7,8.8,2.66,6.13
