-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  35.6897   Longitude 139.6922 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 38.67 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,4.88,1.07,2.98,5.44,10.09,10.93,0.83
2018,1,2,4.55,-0.78,1.88,4.7,7.73,8.87,1.13
2018,1,3,3.23,-2.06,0.58,4.16,5.98,6.48,0.51
2018,1,4,2.83,-1.84,0.5,3.77,6.94,7.27,0.34
2018,1,5,2.08,-1.15,0.47,3.1,5.11,5.16,0.05
2018,1,6,3.78,-0.85,1.47,4.3,10.24,9.35,-0.88
2018,1,7,4.8,-1.18,1.81,4.8,8.34,9.08,0.76
2018,1,8,7.69,5.31,6.51,7.48,7.98,11.51,3.53
2018,1,9,10.33,6.34,8.33,10.03,11.48,14.62,3.15
2018,1,10,5.54,0.37,2.96,5.85,7.64,9.86,2.22
2018,1,11,3.77,-2.52,0.62,4.19,7.77,7.82,0.05
2018,1,12,1.95,-4.83,-1.44,3.08,7.61,6.35,-1.27
2018,1,13,2.57,-3.11,-0.27,3.48,8.9,7.26,-1.63
2018,1,14,2.49,-2.6,-0.05,3.05,7.41,6.73,-0.68
2018,1,15,5.87,2.07,3.97,5.35,9.8,11.33,1.52
2018,1,16,7.36,3.45,5.4,7.48,10.93,13.15,2.23
2018,1,17,11.96,11.11,11.53,11.52,7.33,14.47,7.14
2018,1,18,8.45,4.51,6.48,8.45,9.7,13.57,3.87
2018,1,19,6.28,1.8,4.05,6.8,6.73,10.3,3.57
2018,1,20,5.75,3.81,4.78,6.31,5.46,8.57,3.11
2018,1,21,6.21,1.93,4.07,6.62,9.71,11.53,1.82
2018,1,22,2.84,1.37,2.11,4.27,4.84,5.27,0.44
2018,1,23,3.83,-0.32,1.76,4.24,11.77,10.23,-1.53
2018,1,24,2.19,-4.25,-1.03,3.4,8.74,5.99,-2.75
2018,1,25,-0.9,-7.2,-4.06,0.74,6.02,2.87,-3.16
2018,1,26,-0.09,-5.85,-2.96,1.36,6.48,4.01,-2.47
2018,1,27,0.86,-4.65,-1.9,2.05,7.66,5.63,-2.02
2018,1,28,2.25,-1.77,0.24,3.22,8.08,6.57,-1.51
2018,1,29,4.01,-0.21,1.9,4.64,8.73,9.12,0.38
2018,1,30,1.76,-3.84,-1.04,2.48,5.39,4.79,-0.6
2018,1,31,3.53,-3.13,0.2,3.8,9.58,8.33,-1.25
2018,2,1,3.48,1.86,2.67,4.53,5.54,6.65,1.12
2018,2,2,2.72,1.39,2.05,4.16,4.14,5.19,1.05
2018,2,3,3.82,1.24,2.53,4.83,6.58,7.45,0.87
2018,2,4,3.9,-1.31,1.3,5.24,9.85,9.14,-0.72
2018,2,5,3.29,-2.51,0.39,4.69,7.9,7.33,-0.57
2018,2,6,2.65,-3.8,-0.57,4.06,7.13,6.48,-0.65
2018,2,7,2.48,-3.8,-0.66,3.69,7.91,7.44,-0.46
2018,2,8,2.23,-2.86,-0.31,3.48,7.88,6.74,-1.13
2018,2,9,3.9,-2.56,0.67,4.23,10.97,9.25,-1.72
