-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  49.25   Longitude -123.1 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 565.27 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
2018,1,1,2.26,85.12,0.03,96.08,2.66,3.23,1.53,1.7,3.68,4.48,2.39,2.09
2018,1,2,3.3,91.5,0.05,95.99,2.63,3.62,2.02,1.61,3.75,4.85,2.77,2.09
2018,1,3,3.23,85.38,0.04,95.45,2.82,3.32,2.34,0.98,3.92,4.42,2.81,1.61
2018,1,4,3.66,81.62,1.8,94.98,2.52,3.16,1.94,1.23,3.91,4.73,2.98,1.76
2018,1,5,4.7,97.19,27.42,94.82,2.13,2.82,0.8,2.02,3.48,4.2,1.0,3.2
2018,1,6,4.52,97.25,2.65,95.31,0.91,1.6,0.15,1.45,1.49,2.63,0.16,2.48
2018,1,7,4.39,98.94,13.56,94.93,2.27,2.83,1.19,1.65,3.49,4.27,2.09,2.17
2018,1,8,4.64,98.06,14.74,94.09,1.85,2.05,1.7,0.35,2.82,3.26,2.49,0.77
2018,1,9,4.46,96.94,7.02,93.62,1.29,1.7,0.83,0.88,2.19,2.77,1.69,1.08
2018,1,10,4.21,96.44,2.17,94.54,1.38,1.97,0.36,1.6,2.2,3.24,0.98,2.27
2018,1,11,3.72,98.56,10.42,94.37,3.68,4.71,2.28,2.43,4.89,5.77,3.54,2.23
2018,1,12,4.09,99.06,15.82,95.54,1.97,3.12,1.09,2.03,2.85,4.37,1.68,2.7
2018,1,13,4.58,96.38,4.45,96.15,2.13,2.96,1.77,1.2,3.4,5.41,2.48,2.93
2018,1,14,4.27,90.88,0.06,95.62,3.18,3.46,2.77,0.7,4.83,5.46,4.37,1.09
2018,1,15,4.15,88.44,3.48,94.97,3.3,3.98,2.41,1.56,4.88,6.2,4.04,2.16
2018,1,16,4.88,99.0,12.35,95.25,2.09,2.47,1.78,0.69,3.79,4.2,3.28,0.91
2018,1,17,4.82,96.56,22.51,94.31,3.63,5.95,2.17,3.78,6.41,10.34,3.82,6.52
2018,1,18,4.82,98.38,21.23,93.84,3.41,4.21,2.45,1.76,5.4,6.92,3.91,3.01
