-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  49.25   Longitude -123.1 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 565.27 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,-5.06,-7.89,-6.48,-6.18,7.1,-0.67,-7.77
2018,1,2,-1.36,-2.85,-2.1,-2.23,6.95,1.3,-5.66
2018,1,3,-0.64,-3.02,-1.83,-2.87,4.49,1.9,-2.58
2018,1,4,1.48,-1.4,0.04,-0.22,4.12,3.1,-1.02
2018,1,5,2.62,2.16,2.39,1.84,1.14,3.11,1.97
2018,1,6,2.05,1.62,1.83,1.78,1.63,3.16,1.53
2018,1,7,1.48,1.29,1.38,1.84,0.78,1.93,1.14
2018,1,8,2.1,1.76,1.93,2.06,0.84,2.4,1.56
2018,1,9,1.71,1.24,1.48,1.7,1.4,2.38,0.99
2018,1,10,1.12,0.55,0.83,0.82,1.66,1.73,0.05
2018,1,11,-0.77,-1.38,-1.08,-0.33,2.02,-0.1,-2.11
2018,1,12,0.48,0.09,0.28,0.72,4.04,2.02,-2.02
2018,1,13,2.5,1.89,2.19,1.94,1.3,3.0,1.7
2018,1,14,2.28,0.87,1.58,1.77,1.38,2.89,1.51
2018,1,15,2.08,0.27,1.18,1.42,2.97,3.62,0.65
2018,1,16,2.83,2.53,2.68,2.46,0.63,3.19,2.55
2018,1,17,2.99,2.32,2.65,2.7,1.46,3.75,2.29
2018,1,18,2.61,2.28,2.44,2.62,1.99,3.56,1.57
2018,1,19,1.62,1.4,1.51,1.94,0.5,1.89,1.39
2018,1,20,1.57,1.34,1.46,1.91,0.76,1.85,1.09
2018,1,21,1.83,1.42,1.62,2.01,1.05,2.36,1.31
2018,1,22,1.21,0.85,1.03,1.3,1.48,2.04,0.55
2018,1,23,0.98,0.48,0.73,1.35,0.92,1.51,0.58
2018,1,24,2.03,1.8,1.91,2.21,1.84,2.8,0.96
2018,1,25,0.26,-0.1,0.08,0.73,1.75,1.31,-0.43
2018,1,26,-0.4,-0.81,-0.6,-0.07,2.88,0.9,-1.99
2018,1,27,0.17,-0.41,-0.12,0.27,2.81,1.35,-1.46
2018,1,28,1.7,1.48,1.59,1.78,3.42,3.48,0.06
2018,1,29,2.69,2.46,2.58,2.45,1.54,3.28,1.75
2018,1,30,1.47,1.06,1.26,1.58,1.88,2.08,0.19
2018,1,31,-0.19,-0.52,-0.35,-0.03,1.46,0.58,-0.88
2018,2,1,0.7,0.32,0.51,0.64,2.09,1.65,-0.44
2018,2,2,2.54,2.36,2.44,2.02,2.62,3.9,1.27
2018,2,3,3.55,3.33,3.44,2.53,1.69,4.39,2.69
2018,2,4,3.3,3.05,3.17,2.69,1.35,4.06,2.71
2018,2,5,2.67,2.37,2.51,2.23,1.94,3.41,1.48
2018,2,6,1.63,1.18,1.4,1.42,3.05,2.98,-0.07
2018,2,7,2.77,2.55,2.66,2.4,1.31,3.29,1.98
2018,2,8,2.58,2.05,2.32,1.93,2.95,3.51,0.56
2018,2,9,-2.06,-3.83,-2.95,-2.03,8.21,0.33,-7.89
2018,2,10,-4.92,-7.38,-6.14,-5.12,9.22,-0.06,-9.27
2018,2,11,-4.74,-7.02,-5.88,-4.48,9.32,-0.7,-10.01
2018,2,12,-6.24,-8.99,-7.62,-5.92,11.3,-0.67,-11.98
2018,2,13,-2.38,-4.43,-3.41,-3.07,5.27,0.25,-5.02
2018,2,14,-2.04,-3.01,-2.52,-2.4,6.98,1.52,-5.45
2018,2,15,-4.7,-6.14,-5.42,-5.13,7.91,-1.42,-9.32
2018,2,16,0.25,-0.31,-0.03,0.12,3.77,1.94,-1.83
2018,2,17,0.11,-0.23,-0.06,0.47,2.21,1.12,-1.09
2018,2,18,-7.46,-9.05,-8.25,-6.14,11.66,-1.31,-12.98
2018,2,19,-10.27,-12.95,-11.61,-10.67,10.53,-5.23,-15.76
2018,2,20,-8.53,-11.43,-9.98,-10.25,9.15,-3.25,-12.4
2018,2,21,-9.38,-11.24,-10.31,-9.96,7.65,-6.06,-13.7
2018,2,22,-8.07,-10.87,-9.47,-10.79,10.96,-2.54,-13.51
2018,2,23,-6.61,-7.6,-7.1,-7.46,5.83,-3.81,-9.64
2018,2,24,-2.77,-3.81,-3.29,-2.36,7.17,0.05,-7.12
2018,2,25,-1.25,-2.03,-1.64,-1.42,3.41,0.15,-3.25
2018,2,26,-3.17,-4.76,-3.96,-4.42,7.42,-0.2,-7.62
2018,2,27,0.12,-0.51,-0.2,-0.05,2.92,1.58,-1.35
2018,2,28,0.05,-0.27,-0.11,0.35,1.67,0.93,-0.74
2018,3,1,-0.04,-1.06,-0.56,-0.73,6.47,1.79,-4.68
2018,3,2,-2.19,-3.02,-2.6,-2.13,5.95,0.18,-5.78
2018,3,3,-2.92,-4.58,-3.75,-4.41,8.04,1.44,-6.6
2018,3,4,-2.33,-3.47,-2.9,-3.48,6.66,0.38,-6.27
2018,3,5,0.01,-1.42,-0.7,-1.55,3.02,1.62,-1.41
2018,3,6,-1.65,-3.34,-2.49,-3.57,7.55,1.99,-5.56
2018,3,7,-1.76,-3.4,-2.58,-2.31,8.76,1.94,-6.82
2018,3,8,1.7,1.11,1.4,1.76,2.16,2.67,0.51
2018,3,9,-0.03,-1.77,-0.9,-0.76,5.61,2.23,-3.38
2018,3,10,-0.96,-3.09,-2.02,-1.92,8.23,3.05,-5.18
2018,3,11,1.04,-1.45,-0.2,-0.1,6.69,4.05,-2.63
2018,3,12,3.24,-0.06,1.59,1.5,5.49,5.79,0.3
2018,3,13,3.58,1.81,2.7,2.65,2.85,5.06,2.21
2018,3,14,2.98,2.1,2.54,2.5,2.43,3.62,1.2
2018,3,15,0.86,-0.85,0.01,0.32,6.27,3.45,-2.82
2018,3,16,1.73,-1.07,0.33,-0.31,7.67,5.44,-2.23
2018,3,17,3.12,0.48,1.8,0.64,6.1,5.64,-0.46
2018,3,18,3.4,1.19,2.3,1.58,3.15,5.14,1.99
2018,3,19,2.58,0.19,1.39,1.07,5.7,5.51,-0.2
2018,3,20,2.36,0.33,1.34,1.3,4.58,4.79,0.22
2018,3,21,3.4,1.18,2.3,3.19,6.24,6.62,0.39
2018,3,22,2.15,1.52,1.83,2.68,3.36,3.44,0.08
2018,3,23,0.51,-0.1,0.21,1.1,1.77,1.55,-0.22
