-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  48.2083   Longitude 16.3731 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 372.75 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,QV2M,RH2M,PRECTOTCORR
2018,1,1,96.44,3.04,4.78,1.28,3.49,5.57,7.63,2.29,5.35,4.39,92.12,0.3
2018,1,2,96.54,5.15,7.93,2.72,5.21,8.44,11.09,4.79,6.3,4.03,89.81,0.32
2018,1,3,95.95,7.04,10.22,2.93,7.28,10.79,15.61,5.51,10.1,3.97,84.06,2.41
2018,1,4,95.92,4.99,9.38,2.44,6.95,8.4,14.41,5.12,9.28,4.52,84.62,2.16
2018,1,5,95.98,3.3,4.62,2.12,2.5,6.16,9.73,4.23,5.52,5.74,94.31,3.36
2018,1,6,96.53,1.84,2.7,0.46,2.24,2.78,5.14,0.63,4.5,5.07,89.94,0.06
2018,1,7,97.58,2.26,3.12,1.55,1.57,3.44,4.35,1.76,2.59,5.31,95.25,0.22
2018,1,8,98.17,2.77,5.02,1.91,3.1,4.13,6.76,2.84,3.92,5.43,98.12,0.85
2018,1,9,97.92,5.52,6.33,4.7,1.62,7.23,8.19,6.41,1.77,4.94,95.94,1.05
2018,1,10,97.01,2.2,4.46,0.34,4.12,3.0,6.16,0.49,5.66,4.58,96.31,9.14
2018,1,11,97.1,2.68,3.85,1.31,2.54,4.43,6.4,1.87,4.53,4.21,93.0,0.13
2018,1,12,97.84,4.3,5.39,2.5,2.89,6.06,7.28,3.57,3.71,4.03,91.94,1.36
2018,1,13,98.18,2.54,3.98,1.58,2.4,3.84,6.19,2.38,3.82,3.42,94.31,2.03
2018,1,14,98.13,4.48,6.44,2.73,3.7,6.3,8.08,4.26,3.82,2.93,92.31,2.65
2018,1,15,97.72,5.49,7.34,3.59,3.75,7.45,9.41,5.76,3.65,2.62,90.94,0.14
2018,1,16,95.84,5.33,7.94,3.04,4.9,7.7,10.06,5.5,4.56,3.6,92.56,2.72
2018,1,17,95.45,5.85,10.19,1.91,8.28,9.04,14.55,3.46,11.09,3.72,87.19,1.45
2018,1,18,96.16,6.0,8.78,4.09,4.7,9.71,12.91,5.66,7.25,3.78,85.5,3.59
2018,1,19,96.31,4.86,8.59,3.18,5.41,8.21,11.67,5.84,5.83,3.72,90.0,0.97
2018,1,20,96.49,3.18,5.63,1.63,4.0,5.12,7.59,2.88,4.7,3.42,88.69,1.58
2018,1,21,96.23,5.2,7.17,0.61,6.56,7.19,10.21,0.8,9.41,3.3,92.06,2.23
2018,1,22,96.96,2.95,4.62,0.38,4.23,4.51,7.41,0.38,7.03,2.87,89.56,1.43
2018,1,23,97.77,3.73,5.67,1.75,3.93,6.27,9.09,3.05,6.03,3.85,94.88,1.77
2018,1,24,98.15,3.72,6.37,2.34,4.02,5.97,9.34,3.59,5.75,3.97,92.62,0.3
