-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  48.2083   Longitude 16.3731 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 372.75 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,2.51,1.35,1.93,1.53,6.23,5.98,-0.26
2018,1,2,1.84,0.32,1.08,0.83,6.12,5.2,-0.92
2018,1,3,2.37,-0.05,1.16,1.51,7.38,5.65,-1.73
2018,1,4,4.05,1.68,2.87,3.35,5.14,7.29,2.14
2018,1,5,5.87,5.09,5.48,5.06,8.13,10.59,2.46
2018,1,6,4.68,3.39,4.04,3.03,6.67,8.66,1.99
2018,1,7,4.9,4.19,4.55,4.84,4.79,7.91,3.12
2018,1,8,4.9,4.64,4.76,4.8,1.84,5.9,4.06
2018,1,9,3.9,3.32,3.61,3.83,2.36,4.77,2.41
2018,1,10,2.62,2.09,2.35,2.05,3.05,4.18,1.13
2018,1,11,2.06,0.98,1.52,1.79,6.8,6.22,-0.59
2018,1,12,1.64,0.42,1.03,1.53,5.12,4.76,-0.35
2018,1,13,-0.74,-1.67,-1.2,-0.77,4.0,1.38,-2.62
2018,1,14,-2.34,-3.66,-3.0,-2.4,2.77,-0.99,-3.75
2018,1,15,-3.42,-5.02,-4.21,-3.45,4.34,-0.62,-4.96
2018,1,16,-0.31,-1.48,-0.9,-0.7,6.65,2.56,-4.09
2018,1,17,0.88,-1.07,-0.1,-0.03,4.82,3.69,-1.13
2018,1,18,1.48,-0.72,0.38,0.65,4.68,3.46,-1.22
2018,1,19,0.79,-0.83,-0.02,-0.14,7.58,4.95,-2.63
2018,1,20,-0.17,-1.97,-1.06,-0.92,6.6,3.73,-2.87
2018,1,21,-1.24,-2.54,-1.89,-1.48,5.38,1.55,-3.83
2018,1,22,-2.31,-4.11,-3.21,-2.73,6.56,1.24,-5.32
2018,1,23,0.48,-0.24,0.12,-0.4,6.47,4.42,-2.06
2018,1,24,1.28,0.14,0.71,-0.09,6.98,5.26,-1.7
2018,1,25,0.89,-0.41,0.24,0.62,6.96,5.09,-1.87
2018,1,26,0.62,-0.25,0.18,0.69,5.07,3.73,-1.34
